propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv,routes
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-11,2022-08-11 14:16:00.120000+00:00,2022-08-11 14:19:59.730000+00:00,3.98,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.666743,-0.65353,44.817844,-0.742006,0.0,output/F-ZBFS/2022-08-11/leg_1/F-ZBFS_baro_2022-08-11_leg_1.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-11,2022-08-11 13:03:11.190000+00:00,2022-08-11 13:45:28.520000+00:00,42.28,42min,Pau Pyrenees Airport,Orange-Caritat (BA 115) Air Base,LFBP,LFMO,43.913498,-0.458615,44.092621,4.916382,1.8,output/F-RAFP/2022-08-11/leg_2/F-RAFP_baro_2022-08-11_leg_2.csv,Pau Pyrenees Airport - Orange-Caritat (BA 115) Air Base
Escadron de transport 60,F-RAFP,3b77e5,2022-08-11,2022-08-11 11:35:12.250000+00:00,2022-08-11 12:24:26.580000+00:00,49.23,49min,Villacoublay-Velizy (BA 107) Air Base,Pau Pyrenees Airport,LFPV,LFBP,48.774409,2.205216,43.918917,-0.458418,2.1,output/F-RAFP/2022-08-11/leg_1/F-RAFP_baro_2022-08-11_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Pau Pyrenees Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 19:12:38.690000+00:00,2022-08-10 19:17:06.640000+00:00,4.45,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.636395,-0.685344,44.813098,-0.727305,0.0,output/F-ZBFS/2022-08-10/leg_9/F-ZBFS_baro_2022-08-10_leg_9.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-10,2022-08-10 16:09:46.660000+00:00,2022-08-10 16:37:08.470000+00:00,27.35,27min,"Châteauroux-Deols ""Marcel Dassault"" Airport",Villacoublay-Velizy (BA 107) Air Base,LFLX,LFPV,46.927185,1.762138,48.774078,2.188533,1.2,output/F-RAFP/2022-08-10/leg_4/F-RAFP_baro_2022-08-10_leg_4.csv,"Châteauroux-Deols ""Marcel Dassault"" Airport - Villacoublay-Velizy (BA 107) Air Base"
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-10,2022-08-10 15:57:38.450000+00:00,2022-08-10 17:02:43.710000+00:00,65.08,1h05min,Marseille Provence Airport,Villacoublay-Velizy (BA 107) Air Base,LFML,LFPV,43.424744,5.226298,48.77413,2.190038,2.8,output/F-RAFQ/2022-08-10/leg_5/F-RAFQ_baro_2022-08-10_leg_5.csv,Marseille Provence Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-10,2022-08-10 14:53:11.140000+00:00,2022-08-10 15:24:58.330000+00:00,31.78,32min,Rodez-Marcillac Airport,Marseille Provence Airport,LFCR,LFML,44.371731,2.542598,43.493523,5.13382,1.4,output/F-RAFQ/2022-08-10/leg_4/F-RAFQ_baro_2022-08-10_leg_4.csv,Rodez-Marcillac Airport - Marseille Provence Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-10,2022-08-10 14:51:12.550000+00:00,2022-08-10 15:34:01.540000+00:00,42.8,43min,Limoges Airport,"Châteauroux-Deols ""Marcel Dassault"" Airport",LFBL,LFLX,45.91571,1.184179,46.705302,1.57901,1.9,output/F-RAFP/2022-08-10/leg_3/F-RAFP_baro_2022-08-10_leg_3.csv,"Limoges Airport - Châteauroux-Deols ""Marcel Dassault"" Airport"
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 13:49:32.150000+00:00,2022-08-10 15:04:03.630000+00:00,74.52,1h15min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.681664,-0.503945,44.815416,-0.730099,0.0,output/F-ZBFS/2022-08-10/leg_8/F-ZBFS_baro_2022-08-10_leg_8.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-10,2022-08-10 13:21:06.100000+00:00,2022-08-10 14:17:43.330000+00:00,56.62,57min,"Châteauroux-Deols ""Marcel Dassault"" Airport",Limoges Airport,LFLX,LFBL,46.701828,1.57205,45.745534,1.072609,2.5,output/F-RAFP/2022-08-10/leg_2/F-RAFP_baro_2022-08-10_leg_2.csv,"Châteauroux-Deols ""Marcel Dassault"" Airport - Limoges Airport"
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 13:07:46.520000+00:00,2022-08-10 13:18:26.320000+00:00,10.65,11min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.690943,-0.496661,44.610306,-0.550688,0.0,output/F-ZBFS/2022-08-10/leg_7/F-ZBFS_baro_2022-08-10_leg_7.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-10,2022-08-10 12:20:22.450000+00:00,2022-08-10 12:49:14.130000+00:00,28.85,29min,Villacoublay-Velizy (BA 107) Air Base,"Châteauroux-Deols ""Marcel Dassault"" Airport",LFPV,LFLX,48.774261,2.197336,47.010265,1.866831,1.3,output/F-RAFP/2022-08-10/leg_1/F-RAFP_baro_2022-08-10_leg_1.csv,"Villacoublay-Velizy (BA 107) Air Base - Châteauroux-Deols ""Marcel Dassault"" Airport"
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 12:15:20.760000+00:00,2022-08-10 12:18:31.720000+00:00,3.17,3min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.832575,-0.675682,44.747059,-0.53161,0.0,output/F-ZBFS/2022-08-10/leg_6/F-ZBFS_baro_2022-08-10_leg_6.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFA,3b770d,2022-08-10,2022-08-10 11:11:14.810000+00:00,2022-08-10 11:52:11.800000+00:00,40.93,41min,Épinal-Mirecourt Airport,Villacoublay-Velizy (BA 107) Air Base,LFSG,LFPV,47.781143,6.369736,48.774176,2.192351,2.1,output/F-RAFA/2022-08-10/leg_4/F-RAFA_baro_2022-08-10_leg_4.csv,Épinal-Mirecourt Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-10,2022-08-10 10:34:27.170000+00:00,2022-08-10 11:19:39.910000+00:00,45.2,45min,Saint-Nazaire-Montoir Airport,Rodez-Marcillac Airport,LFRZ,LFCR,47.310481,-2.157616,44.4984,2.333791,2.0,output/F-RAFQ/2022-08-10/leg_3/F-RAFQ_baro_2022-08-10_leg_3.csv,Saint-Nazaire-Montoir Airport - Rodez-Marcillac Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 10:07:33.520000+00:00,2022-08-10 10:22:54.340000+00:00,15.33,15min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.684893,-0.496608,44.820875,-0.691053,0.0,output/F-ZBFS/2022-08-10/leg_5/F-ZBFS_baro_2022-08-10_leg_5.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 09:52:01.680000+00:00,2022-08-10 09:53:49.900000+00:00,1.8,2min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.625797,-0.539121,44.712617,-0.478771,0.0,output/F-ZBFS/2022-08-10/leg_4/F-ZBFS_baro_2022-08-10_leg_4.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFA,3b770d,2022-08-10,2022-08-10 09:06:05.580000+00:00,2022-08-10 09:46:22.420000+00:00,40.27,40min,Évreux-Fauville (BA 105) Air Base,Épinal-Mirecourt Airport,LFOE,LFSG,49.027771,1.218778,47.820328,6.234261,2.5,output/F-RAFA/2022-08-10/leg_3/F-RAFA_baro_2022-08-10_leg_3.csv,Évreux-Fauville (BA 105) Air Base - Épinal-Mirecourt Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 08:28:29.860000+00:00,2022-08-10 09:11:08.730000+00:00,42.63,43min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.684299,-0.492262,44.71793,-0.468085,0.0,output/F-ZBFS/2022-08-10/leg_3/F-ZBFS_baro_2022-08-10_leg_3.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 07:42:38.410000+00:00,2022-08-10 08:14:41.610000+00:00,32.05,32min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.820935,-0.694815,44.702648,-0.507849,0.0,output/F-ZBFS/2022-08-10/leg_2/F-ZBFS_baro_2022-08-10_leg_2.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFA,3b770d,2022-08-10,2022-08-10 07:18:56.050000+00:00,2022-08-10 07:54:39.970000+00:00,35.72,36min,Épinal-Mirecourt Airport,Évreux-Fauville (BA 105) Air Base,LFSG,LFOE,47.797045,6.311927,49.014908,1.202369,1.9,output/F-RAFA/2022-08-10/leg_2/F-RAFA_baro_2022-08-10_leg_2.csv,Épinal-Mirecourt Airport - Évreux-Fauville (BA 105) Air Base
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-10,2022-08-10 07:16:03.150000+00:00,2022-08-10 08:20:27.020000+00:00,64.38,1h04min,Marseille Provence Airport,Saint-Nazaire-Montoir Airport,LFML,LFRZ,43.461777,5.179351,47.31134,-2.153389,2.8,output/F-RAFQ/2022-08-10/leg_2/F-RAFQ_baro_2022-08-10_leg_2.csv,Marseille Provence Airport - Saint-Nazaire-Montoir Airport
Escadron de transport 60,F-RAFA,3b770d,2022-08-10,2022-08-10 06:11:12.100000+00:00,2022-08-10 06:45:53.870000+00:00,34.68,35min,Villacoublay-Velizy (BA 107) Air Base,Épinal-Mirecourt Airport,LFPV,LFSG,48.774409,2.204638,47.816162,6.248817,1.8,output/F-RAFA/2022-08-10/leg_1/F-RAFA_baro_2022-08-10_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Épinal-Mirecourt Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-10,2022-08-10 05:51:27.670000+00:00,2022-08-10 06:23:08.020000+00:00,31.67,32min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.836227,-0.684598,44.815001,-0.731045,0.0,output/F-ZBFS/2022-08-10/leg_1/F-ZBFS_baro_2022-08-10_leg_1.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-10,2022-08-10 04:41:21.900000+00:00,2022-08-10 05:35:41.650000+00:00,54.32,54min,Villacoublay-Velizy (BA 107) Air Base,Marseille Provence Airport,LFPV,LFML,48.774307,2.199097,43.400931,5.267552,2.4,output/F-RAFQ/2022-08-10/leg_1/F-RAFQ_baro_2022-08-10_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Marseille Provence Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 16:45:11.890000+00:00,2022-08-09 16:49:54.040000+00:00,4.7,5min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.621941,-0.688114,44.813557,-0.730578,0.0,output/F-ZBFS/2022-08-09/leg_9/F-ZBFS_baro_2022-08-09_leg_9.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-09,2022-08-09 16:23:26.430000+00:00,2022-08-09 17:04:51.110000+00:00,41.4,41min,Metz-Nancy-Lorraine Airport,Villacoublay-Velizy (BA 107) Air Base,LFJL,LFPV,48.99651,6.267194,48.77449,2.205646,1.8,output/F-RAFP/2022-08-09/leg_3/F-RAFP_baro_2022-08-09_leg_3.csv,Metz-Nancy-Lorraine Airport - Villacoublay-Velizy (BA 107) Air Base
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 15:33:58.540000+00:00,2022-08-09 15:52:39.110000+00:00,18.67,19min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.839721,-0.704004,44.613032,-0.750006,0.0,output/F-ZBFS/2022-08-09/leg_8/F-ZBFS_baro_2022-08-09_leg_8.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 14:26:13.020000+00:00,2022-08-09 14:36:49.980000+00:00,10.6,11min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.968345,-1.067133,44.834442,-0.734144,0.0,output/F-ZBFS/2022-08-09/leg_7/F-ZBFS_baro_2022-08-09_leg_7.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-09,2022-08-09 14:26:00.320000+00:00,2022-08-09 15:58:23.300000+00:00,92.37,1h32min,Clermont-Ferrand Auvergne Airport,Metz-Nancy-Lorraine Airport,LFLC,LFJL,45.786547,3.168594,48.948532,6.260024,4.0,output/F-RAFP/2022-08-09/leg_2/F-RAFP_baro_2022-08-09_leg_2.csv,Clermont-Ferrand Auvergne Airport - Metz-Nancy-Lorraine Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 13:42:01.570000+00:00,2022-08-09 14:09:03.290000+00:00,27.02,27min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.642384,-0.502958,44.97556,-0.949814,0.0,output/F-ZBFS/2022-08-09/leg_6/F-ZBFS_baro_2022-08-09_leg_6.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFA,3b770d,2022-08-09,2022-08-09 12:24:42.960000+00:00,2022-08-09 12:54:49.600000+00:00,30.1,30min,Évreux-Fauville (BA 105) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFOE,LFPV,49.026718,1.21744,48.773941,2.181138,1.6,output/F-RAFA/2022-08-09/leg_2/F-RAFA_baro_2022-08-09_leg_2.csv,Évreux-Fauville (BA 105) Air Base - Villacoublay-Velizy (BA 107) Air Base
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 12:15:26.710000+00:00,2022-08-09 12:51:25.410000+00:00,35.97,36min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.629255,-0.564523,44.653056,-0.471527,0.0,output/F-ZBFS/2022-08-09/leg_5/F-ZBFS_baro_2022-08-09_leg_5.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-09,2022-08-09 11:49:26.480000+00:00,2022-08-09 14:04:18.760000+00:00,134.87,2h15min,Villacoublay-Velizy (BA 107) Air Base,Clermont-Ferrand Auvergne Airport,LFPV,LFLC,48.774362,2.202831,45.786593,3.169144,5.8,output/F-RAFP/2022-08-09/leg_1/F-RAFP_baro_2022-08-09_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Clermont-Ferrand Auvergne Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 11:37:57.090000+00:00,2022-08-09 11:41:35.970000+00:00,3.63,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.83882,-0.682224,44.741343,-0.517166,0.0,output/F-ZBFS/2022-08-09/leg_4/F-ZBFS_baro_2022-08-09_leg_4.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFA,3b770d,2022-08-09,2022-08-09 11:19:00.540000+00:00,2022-08-09 12:04:37.020000+00:00,45.6,46min,Villacoublay-Velizy (BA 107) Air Base,Évreux-Fauville (BA 105) Air Base,LFPV,LFOE,48.774362,2.203048,49.013874,1.201124,2.4,output/F-RAFA/2022-08-09/leg_1/F-RAFA_baro_2022-08-09_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Évreux-Fauville (BA 105) Air Base
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 09:37:22.360000+00:00,2022-08-09 09:40:08.350000+00:00,2.75,3min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.919933,-0.735718,44.813473,-0.72803,0.0,output/F-ZBFS/2022-08-09/leg_3/F-ZBFS_baro_2022-08-09_leg_3.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-09,2022-08-09 08:25:55.790000+00:00,2022-08-09 09:24:35.620000+00:00,58.65,59min,Pau Pyrenees Airport,Villacoublay-Velizy (BA 107) Air Base,LFBP,LFPV,43.382589,-0.423758,48.774216,2.192618,2.5,output/F-RAFQ/2022-08-09/leg_2/F-RAFQ_baro_2022-08-09_leg_2.csv,Pau Pyrenees Airport - Villacoublay-Velizy (BA 107) Air Base
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 07:59:27.950000+00:00,2022-08-09 08:03:27.820000+00:00,3.98,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.854058,-0.691217,45.014454,-0.614978,0.0,output/F-ZBFS/2022-08-09/leg_2/F-ZBFS_baro_2022-08-09_leg_2.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-09,2022-08-09 06:39:36.220000+00:00,2022-08-09 07:39:54.840000+00:00,60.3,1h00min,Villacoublay-Velizy (BA 107) Air Base,Pau Pyrenees Airport,LFPV,LFBP,48.774353,2.203815,43.3694,-0.398574,2.6,output/F-RAFQ/2022-08-09/leg_1/F-RAFQ_baro_2022-08-09_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Pau Pyrenees Airport
SECURITE CIVILE,F-ZBFS,3b7b6e,2022-08-09,2022-08-09 06:14:57.100000+00:00,2022-08-09 06:23:23.920000+00:00,8.43,8min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.718196,-0.245288,44.814505,-0.728898,0.0,output/F-ZBFS/2022-08-09/leg_1/F-ZBFS_baro_2022-08-09_leg_1.csv,Bordeaux-Merignac Airport - Bordeaux-Merignac Airport
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-08,2022-08-08 13:43:59.070000+00:00,2022-08-08 15:43:17.550000+00:00,119.3,1h59min,Metz-Nancy-Lorraine Airport,Villacoublay-Velizy (BA 107) Air Base,LFJL,LFPV,48.983894,6.254112,48.774316,2.199,5.2,output/F-RAFQ/2022-08-08/leg_2/F-RAFQ_baro_2022-08-08_leg_2.csv,Metz-Nancy-Lorraine Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-08,2022-08-08 11:42:18.280000+00:00,2022-08-08 13:16:21.410000+00:00,94.05,1h34min,Villacoublay-Velizy (BA 107) Air Base,Metz-Nancy-Lorraine Airport,LFPV,LFJL,48.774307,2.198111,48.942764,6.210374,4.1,output/F-RAFQ/2022-08-08/leg_1/F-RAFQ_baro_2022-08-08_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Metz-Nancy-Lorraine Airport
