registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFP,3b77e5,2022-07-16,2022-07-16 06:38:20.500000+00:00,2022-07-16 07:24:51.500000+00:00,46.52,47min,A/C in cruise,Port Bouet Airport,A/C in cruise,DIAP,9.244137,-0.992546,5.264732,-3.92444,2.0,output/F-RAFP/2022-07-16/leg_1/F-RAFP_baro_2022-07-16_leg_1.csv
F-RAFP,3b77e5,2022-07-14,2022-07-14 15:57:00.100000+00:00,2022-07-14 19:47:22.800000+00:00,230.37,3h50min,Villacoublay-Velizy (BA 107) Air Base,A/C in cruise,LFPV,A/C in cruise,48.774445,2.205928,20.477142,3.559055,10.0,output/F-RAFP/2022-07-14/leg_1/F-RAFP_baro_2022-07-14_leg_1.csv
F-RAFP,3b77e5,2022-07-11,2022-07-11 13:55:58.600000+00:00,2022-07-11 15:22:52.500000+00:00,86.88,1h27min,Vaclav Havel Airport Prague,Villacoublay-Velizy (BA 107) Air Base,LKPR,LFPV,50.112762,14.262784,48.774083,2.18599,3.8,output/F-RAFP/2022-07-11/leg_2/F-RAFP_baro_2022-07-11_leg_2.csv
F-RAFP,3b77e5,2022-07-10,2022-07-10 17:51:53.300000+00:00,2022-07-10 19:12:45.400000+00:00,80.87,1h21min,Villacoublay-Velizy (BA 107) Air Base,Vaclav Havel Airport Prague,LFPV,LKPR,48.774353,2.201139,50.112167,14.26076,3.5,output/F-RAFP/2022-07-10/leg_1/F-RAFP_baro_2022-07-10_leg_1.csv
F-RAFP,3b77e5,2022-07-08,2022-07-08 15:11:25.490000+00:00,2022-07-08 20:20:00.190000+00:00,308.57,5h09min,St Pierre Airport,Villacoublay-Velizy (BA 107) Air Base,LFVP,LFPV,46.72879,-56.168473,48.774353,2.200435,13.4,output/F-RAFP/2022-07-08/leg_2/F-RAFP_baro_2022-07-08_leg_2.csv
F-RAFP,3b77e5,2022-07-08,2022-07-08 12:23:22.090000+00:00,2022-07-08 14:07:06.290000+00:00,103.73,1h44min,Westchester County Airport,Miquelon Airport,KHPN,LFVM,41.065638,-73.705652,46.741054,-56.720146,4.5,output/F-RAFP/2022-07-08/leg_1/F-RAFP_baro_2022-07-08_leg_1.csv
F-RAFP,3b77e5,2022-07-07,2022-07-07 13:43:58.500000+00:00,2022-07-07 16:21:27+00:00,157.47,2h37min,St. John's International Airport,Westchester County Airport,CYYT,KHPN,47.608415,-52.728389,41.074808,-73.712769,6.8,output/F-RAFP/2022-07-07/leg_2/F-RAFP_baro_2022-07-07_leg_2.csv
F-RAFP,3b77e5,2022-07-07,2022-07-07 07:31:31.200000+00:00,2022-07-07 12:55:01.300000+00:00,323.5,5h24min,Villacoublay-Velizy (BA 107) Air Base,St. John's International Airport,LFPV,CYYT,48.774409,2.205216,47.646698,-52.778732,14.0,output/F-RAFP/2022-07-07/leg_1/F-RAFP_baro_2022-07-07_leg_1.csv
F-RAFP,3b77e5,2022-07-04,2022-07-04 15:00:36.390000+00:00,2022-07-04 16:21:28.390000+00:00,80.87,1h21min,Vannes-Meucon Airport,Villacoublay-Velizy (BA 107) Air Base,LFRV,LFPV,48.035858,-2.954407,48.774781,2.223503,3.5,output/F-RAFP/2022-07-04/leg_3/F-RAFP_baro_2022-07-04_leg_3.csv
F-RAFP,3b77e5,2022-07-04,2022-07-04 14:00:55.590000+00:00,2022-07-04 14:56:08.790000+00:00,55.22,55min,Tours-Val-de-Loire Airport,Vannes-Meucon Airport,LFOT,LFRV,47.456468,0.73207,48.07869,-2.88501,2.4,output/F-RAFP/2022-07-04/leg_2/F-RAFP_baro_2022-07-04_leg_2.csv
F-RAFP,3b77e5,2022-07-04,2022-07-04 12:07:11.990000+00:00,2022-07-04 13:14:52.190000+00:00,67.67,1h08min,Villacoublay-Velizy (BA 107) Air Base,Tours-Val-de-Loire Airport,LFPV,LFOT,48.774399,2.204801,47.415642,0.720943,2.9,output/F-RAFP/2022-07-04/leg_1/F-RAFP_baro_2022-07-04_leg_1.csv
F-RAFP,3b77e5,2022-07-01,2022-07-01 14:26:51.198000+00:00,2022-07-01 15:16:59.898000+00:00,50.13,50min,EuroAirport Basel-Mulhouse-Freiburg Airport,Villacoublay-Velizy (BA 107) Air Base,LFSB,LFPV,47.590632,7.534086,48.774409,2.205144,2.2,output/F-RAFP/2022-07-01/leg_3/F-RAFP_baro_2022-07-01_leg_3.csv
F-RAFP,3b77e5,2022-07-01,2022-07-01 13:04:10.097000+00:00,2022-07-01 13:27:37.097000+00:00,23.45,23min,Épinal-Mirecourt Airport,EuroAirport Basel-Mulhouse-Freiburg Airport,LFSG,LFSB,47.763565,6.304985,47.607651,7.516846,1.0,output/F-RAFP/2022-07-01/leg_2/F-RAFP_baro_2022-07-01_leg_2.csv
F-RAFP,3b77e5,2022-07-01,2022-07-01 12:10:04.297000+00:00,2022-07-01 12:51:56.597000+00:00,41.87,42min,Villacoublay-Velizy (BA 107) Air Base,Épinal-Mirecourt Airport,LFPV,LFSG,48.77449,2.2079,47.750306,6.416227,1.8,output/F-RAFP/2022-07-01/leg_1/F-RAFP_baro_2022-07-01_leg_1.csv
